	created_at	text	username	retweet_count	reply_count	like_count	quote_count
26	2022-01-31 15:28:09+00:00	"Hey #kansascity! We want to cover climate change in ways that serve communities. 
Please spend a minute filling out survey below &amp; let us know what's imp't to you. And please share w/others.

@TheKLC  #ClimateActionKC @KCMO @BTG_KC #ClimateAction #ClimateCrisis #environment https://t.co/N23P8QbkK1"	EcoBarter	1	0	0	0
27	2022-01-31 15:28:02+00:00	Shell's new #carboncapture plant has a net emissions rate equivalent to 1.2 million gasoline-powered cars. You nailed it, folks! Great job.https://t.co/VLKvs3s5Pc #environment https://t.co/HBTqICeVR2	CrossFitnCrypto	0	0	0	0
28	2022-01-31 15:27:52+00:00	"Xerox Belatedly Addresses Web-Based Printer Bricking Threat.
https://t.co/sqVdqVCyVy
#manufacturing #circulareconomy #jobs #usamanufacturing #environment #closedloop #localbusiness #usamade #innovation #managment https://t.co/dWsJRBgGE6"	ebottcher	0	0	0	0
29	2022-01-31 15:27:34+00:00	"Stagecoach has taken a further step in achieving its sustainability commitments by announcing the appointment of a new Head of Sustainability

#News #PositiveNews #southwest #environment 

https://t.co/PilnPbDm9S"	Cernovich	0	0	0	0
30	2022-01-31 15:27:28+00:00	"Instant Up: HP’s Subscription Ink Services Hiking Prices Next Month, 50% higher?!
https://t.co/Qu90a00hlp
#manufacturing #circulareconomy #jobs #usamanufacturing #environment #closedloop #localbusiness #usamade https://t.co/nNdwgPoi3A"	TheAFA_	0	0	0	0
31	2022-01-31 15:27:19+00:00	"For the First Time, a Harvard Study Links Air Pollution From Fracking to Early Deaths Among Nearby Residents
#environment 
#FossilFuelsKill 

https://t.co/SYVZ6jQotk"	tonernews	1	0	1	1
32	2022-01-31 15:26:53+00:00	"LOL: Trump Says His Publisher —Can’t Find Enough Paper, Ink, And ….. (Video)
https://t.co/NdDk2fHYcJ
#manufacturing #circulareconomy #jobs #usamanufacturing #environment #closedloop https://t.co/ol95VOlxWr"	epstallard	0	0	0	0
33	2022-01-31 15:26:32+00:00	"We are working together with the private sector and organizations towards a better, brighter, cleaner, and more sustainable future in Central Asia.

#asdeo #environment #sustainable_development #workarea https://t.co/vCDkyoANOY"	GoodOnYou_App	0	0	1	0
34	2022-01-31 15:26:31+00:00	"Canon’s Printing Business Bounces Back!
https://t.co/h3SpmeOk98
#manufacturing #circulareconomy #jobs #usamanufacturing #environment #closedloop #localbusiness #usamade #innovation #managment #technologydevelopment #cyberattack #ceo #closedloop #localbusiness #recycling #reuse"	laurazig	1	0	0	0
35	2022-01-31 15:26:06+00:00	"If Sharp Sold As Many Printers and Toners as Canon and HP, It too Would have a Chip Shortage.
https://t.co/SpmbWRM9CQ
#manufacturing #circulareconomy #jobs #usamanufacturing #environment #closedloop #localbusiness #usamade #innovation #managment https://t.co/q8HQ58fu0g"	TheKLC	0	0	0	0
36	2022-01-31 15:26:02+00:00	"Visit https://t.co/Na2F5DdcTq! We are excited to provide environmental and outdoor job opportunities! 
FEATURED JOB: https://t.co/JIn5irC46z in Kingsville, TX
#jobs #environment #careers https://t.co/krARAE092y"	KCMO	0	0	0	0
37	2022-01-31 15:25:46+00:00	"Laid Off Workers at China Canon Zhuhai Factory Negotiate For Severance Pay.
https://t.co/jSBhmOep3P
#manufacturing #circulareconomy #jobs #usamanufacturing #environment #closedloop #localbusiness #usamade #innovation #managment"	BTG_KC	0	0	0	0
38	2022-01-31 15:25:30+00:00	"De La Rue Activist Investor Calls for Sale or Break-Up of Banknote Printer.
https://t.co/rleiScDydQ
#manufacturing #circulareconomy #jobs #usamanufacturing #environment #closedloop #localbusiness #usamade #innovation #managment https://t.co/XIPuHqEZzU"	kcur	0	0	0	0
